[2026-04-03T05:36:08.826Z] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_1kt6ooj._.js → 200 (44ms, 338B)
[2026-04-03T05:36:08.826Z] GET http://localhost:3000/_next/static/chunks/node_modules_1bpao1h._.js → 200 (45ms, 985780B)
[2026-04-03T05:36:08.826Z] GET http://localhost:3000/_next/static/chunks/src_components_0xwfln5._.js → 200 (44ms, 70144B)
[2026-04-03T05:36:08.826Z] GET http://localhost:3000/_next/static/chunks/src_app_page_tsx_19mqsku._.js → 200 (44ms, 297B)
[2026-04-03T05:36:08.826Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_19mqsku.js → 200 (44ms, 212B)
[2026-04-03T05:36:08.842Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Faudit-work%2F800%2F600&w=750&q=75 → 304 (26ms, ?B)
[2026-04-03T05:36:08.842Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fbuild-auto%2F600%2F400&w=640&q=75 → 304 (27ms, ?B)
[2026-04-03T05:36:08.842Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fwin-results%2F600%2F400&w=640&q=75 → 304 (29ms, ?B)
[2026-04-03T05:36:08.842Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Ftraining-work%2F700%2F500&w=640&q=75 → 304 (29ms, ?B)
[2026-04-03T05:36:08.842Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fautomation-dash%2F700%2F500&w=640&q=75 → 304 (27ms, ?B)
[2026-04-03T05:36:08.842Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fdigital-web%2F700%2F500&w=640&q=75 → 304 (38ms, ?B)
[2026-04-03T05:36:08.867Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (27ms, 15461B)
[2026-04-03T05:36:08.868Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_00e1dbr._.js → 200 (26ms, 289B)
[2026-04-03T05:36:46.445Z] GET http://localhost:3000/ → 200 (41ms, 125183B)
[2026-04-03T05:36:46.489Z] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.3f30ggp2vw8zj.woff2 → 200 (?ms, ?B)
[2026-04-03T05:36:46.489Z] GET http://localhost:3000/_next/static/media/caa3a2e1cccd8315-s.p.400zotvijr2rn.woff2 → 200 (?ms, ?B)
[2026-04-03T05:36:46.490Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fquilliam-hero%2F800%2F1000&w=640&q=75 → 304 (17ms, ?B)
[2026-04-03T05:36:46.490Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fquilliam-hero%2F800%2F400&w=1920&q=75 → 304 (17ms, ?B)
[2026-04-03T05:36:46.490Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__04kpziu._.css → 200 (3ms, 64670B)
[2026-04-03T05:36:46.490Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1swe1pq._.js → 200 (17ms, 675B)
[2026-04-03T05:36:46.490Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_090k2jm.js → 200 (23ms, 750493B)
[2026-04-03T05:36:46.490Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js → 200 (22ms, 1058095B)
[2026-04-03T05:36:46.490Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js → 200 (21ms, 174634B)
[2026-04-03T05:36:46.491Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_1amofcm._.js → 200 (20ms, 144344B)
[2026-04-03T05:36:46.491Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js → 200 (22ms, 747009B)
[2026-04-03T05:36:46.491Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_0td08b2._.js → 200 (21ms, 249262B)
[2026-04-03T05:36:46.491Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_1r9vbqw._.js → 200 (20ms, 1984B)
[2026-04-03T05:36:46.491Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → 200 (21ms, 756B)
[2026-04-03T05:36:46.491Z] GET http://localhost:3000/_next/static/chunks/turbopack-_06rjnlx._.js → 200 (22ms, 91085B)
[2026-04-03T05:36:46.491Z] GET http://localhost:3000/_next/static/chunks/node_modules_11llhag._.js → 200 (28ms, 437503B)
[2026-04-03T05:36:46.491Z] GET http://localhost:3000/_next/static/chunks/src_10tka9u._.js → 200 (28ms, 38359B)
[2026-04-03T05:36:46.491Z] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_1kt6ooj._.js → 200 (28ms, 338B)
[2026-04-03T05:36:46.491Z] GET http://localhost:3000/_next/static/chunks/node_modules_1bpao1h._.js → 200 (38ms, 985780B)
[2026-04-03T05:36:46.491Z] GET http://localhost:3000/_next/static/chunks/src_components_0xwfln5._.js → 200 (28ms, 70144B)
[2026-04-03T05:36:46.491Z] GET http://localhost:3000/_next/static/chunks/src_app_page_tsx_19mqsku._.js → 200 (30ms, 297B)
[2026-04-03T05:36:46.491Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_19mqsku.js → 200 (30ms, 212B)
[2026-04-03T05:36:46.505Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Faudit-work%2F800%2F600&w=750&q=75 → 304 (24ms, ?B)
[2026-04-03T05:36:46.505Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fbuild-auto%2F600%2F400&w=640&q=75 → 304 (24ms, ?B)
[2026-04-03T05:36:46.505Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fwin-results%2F600%2F400&w=640&q=75 → 304 (25ms, ?B)
[2026-04-03T05:36:46.505Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Ftraining-work%2F700%2F500&w=640&q=75 → 304 (33ms, ?B)
[2026-04-03T05:36:46.505Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fautomation-dash%2F700%2F500&w=640&q=75 → 304 (25ms, ?B)
[2026-04-03T05:36:46.505Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fdigital-web%2F700%2F500&w=640&q=75 → 304 (33ms, ?B)
[2026-04-03T05:36:46.518Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (36ms, 15461B)
[2026-04-03T05:36:46.518Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_00e1dbr._.js → 200 (36ms, 289B)
[2026-04-03T05:47:45.882Z] GET http://localhost:3000/?_rsc=wnywt → pending (?ms, ?B)
[2026-04-03T05:47:45.928Z] GET http://localhost:3000/?_rsc=wnywt → pending (?ms, ?B)
[2026-04-03T05:47:45.929Z] GET http://localhost:3000/?_rsc=wnywt → pending (?ms, ?B)
[2026-04-03T05:47:45.929Z] GET http://localhost:3000/?_rsc=wnywt → pending (?ms, ?B)
[2026-04-03T05:47:45.930Z] GET http://localhost:3000/?_rsc=wnywt → pending (?ms, ?B)
[2026-04-03T05:47:45.930Z] GET http://localhost:3000/?_rsc=wnywt → pending (?ms, ?B)
[2026-04-03T05:47:45.930Z] GET http://localhost:3000/?_rsc=wnywt → pending (?ms, ?B)
[2026-04-03T05:47:45.931Z] GET http://localhost:3000/?_rsc=wnywt → 200 (170ms, ?B)
[2026-04-03T05:47:45.937Z] GET http://localhost:3000/?_rsc=wnywt → 200 (120ms, ?B)
[2026-04-03T05:47:46.064Z] GET http://localhost:3000/ → pending (?ms, ?B)
[2026-04-03T05:47:46.065Z] GET http://localhost:3000/ → pending (?ms, ?B)
[2026-04-03T05:47:46.264Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → pending (?ms, ?B)
[2026-04-03T05:47:46.324Z] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.3f30ggp2vw8zj.woff2 → 200 (?ms, ?B)
[2026-04-03T05:47:46.324Z] GET http://localhost:3000/_next/static/media/caa3a2e1cccd8315-s.p.400zotvijr2rn.woff2 → 200 (?ms, ?B)
[2026-04-03T05:47:46.352Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fquilliam-hero%2F800%2F1000&w=640&q=75 → 304 (32ms, ?B)
[2026-04-03T05:47:46.352Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fquilliam-hero%2F800%2F400&w=1920&q=75 → 304 (34ms, ?B)
[2026-04-03T05:47:46.352Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__04kpziu._.css → 200 (29ms, 64670B)
[2026-04-03T05:47:46.352Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1swe1pq._.js → 200 (33ms, 675B)
[2026-04-03T05:47:46.352Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_090k2jm.js → 200 (54ms, 750493B)
[2026-04-03T05:47:46.352Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js → 200 (51ms, 1058095B)
[2026-04-03T05:47:46.352Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js → 200 (53ms, 174634B)
[2026-04-03T05:47:46.352Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_1amofcm._.js → 200 (51ms, 144344B)
[2026-04-03T05:47:46.352Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js → 200 (55ms, 747009B)
[2026-04-03T05:47:46.352Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_0td08b2._.js → 200 (55ms, 249262B)
[2026-04-03T05:47:46.352Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_1r9vbqw._.js → 200 (55ms, 1984B)
[2026-04-03T05:47:46.352Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → 200 (64ms, 756B)
[2026-04-03T05:47:46.352Z] GET http://localhost:3000/_next/static/chunks/turbopack-_06rjnlx._.js → 200 (65ms, 91085B)
[2026-04-03T05:47:46.352Z] GET http://localhost:3000/_next/static/chunks/node_modules_11llhag._.js → 200 (68ms, 437503B)
[2026-04-03T05:47:46.352Z] GET http://localhost:3000/_next/static/chunks/src_10tka9u._.js → 200 (68ms, 38359B)
[2026-04-03T05:47:46.352Z] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_1kt6ooj._.js → 200 (68ms, 338B)
[2026-04-03T05:47:46.353Z] GET http://localhost:3000/_next/static/chunks/node_modules_1bpao1h._.js → 200 (141ms, 997580B)
[2026-04-03T05:47:46.353Z] GET http://localhost:3000/_next/static/chunks/src_components_0xwfln5._.js → 200 (69ms, 70144B)
[2026-04-03T05:47:46.353Z] GET http://localhost:3000/_next/static/chunks/src_app_page_tsx_19mqsku._.js → 200 (125ms, 297B)
[2026-04-03T05:47:46.353Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_19mqsku.js → 200 (126ms, 212B)
[2026-04-03T05:47:46.402Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Faudit-work%2F800%2F600&w=750&q=75 → 304 (64ms, ?B)
[2026-04-03T05:47:46.402Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fbuild-auto%2F600%2F400&w=640&q=75 → 304 (64ms, ?B)
[2026-04-03T05:47:46.402Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fwin-results%2F600%2F400&w=640&q=75 → 304 (65ms, ?B)
[2026-04-03T05:47:46.402Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Ftraining-work%2F700%2F500&w=640&q=75 → 304 (65ms, ?B)
[2026-04-03T05:47:46.403Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fautomation-dash%2F700%2F500&w=640&q=75 → 304 (74ms, ?B)
[2026-04-03T05:47:46.403Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fdigital-web%2F700%2F500&w=640&q=75 → 304 (74ms, ?B)
[2026-04-03T05:47:46.419Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (60ms, 15461B)
[2026-04-03T05:47:46.419Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_00e1dbr._.js → 200 (61ms, 289B)
[2026-04-03T05:48:04.551Z] GET http://localhost:3000/?_rsc=wnywt → pending (?ms, ?B)
[2026-04-03T05:48:04.566Z] GET http://localhost:3000/?_rsc=wnywt → pending (?ms, ?B)
[2026-04-03T05:48:04.568Z] GET http://localhost:3000/?_rsc=wnywt → pending (?ms, ?B)
